year,na_share_pct,can_share_pct,mex_share_pct,prc_share_pct,total_foreign_va_bn,na_va_bn,can_va_bn,mex_va_bn,prc_va_bn,prc_in_mex_share_pct
2015,60.42,49.47,10.95,4.37,50.73,30.653,25.096,5.557,2.219,1.04
2016,59.62,50.95,8.67,4.22,47.422,28.274,24.164,4.11,2.002,1.34
2017,47.64,36.27,11.37,3.77,66.592,31.724,24.155,7.569,2.513,1.48
2018,47.01,36.04,10.97,3.73,84.663,39.799,30.514,9.285,3.157,2.01
2019,39.78,29.25,10.52,4.61,80.728,32.112,23.616,8.496,3.719,2.06
2020,39.45,28.15,11.3,3.83,46.573,18.373,13.112,5.261,1.782,2.02
2021,44.09,36.35,7.74,4.38,63.768,28.116,23.182,4.934,2.791,2.77
2022,41.47,35.73,5.74,6.05,110.567,45.856,39.505,6.351,6.695,2.52
2023,51.67,42.13,9.54,4.5,82.2,42.472,34.632,7.84,3.696,1.97
2024,50.02,44.99,5.04,4.19,75.145,37.591,33.807,3.784,3.146,2.27
